Card   1: 58 68  1 21 88 37 66 61 23 25 | 63 95 45 43 79 64 29 87  8 70 84 34 91 67  3 76 27 24 28 62 13 54 19 93  7
Card   2:  4 60 28  7 83 59 90 67 95 87 |  7 67 77 13 11 19 54  3 95 25  1 87  4 80 64 60  8 94 53 90 59 83 31 70 28
Card   3: 88 52 39 57 13 85 87  9 61 40 | 90  1  5  9 43 61 10 12 98 40 97 44 11  6 57 80 30 85 41 52 13 88 39 87 93
Card   4: 24 64 90 79  2 83 62 77 22 25 | 64 83 37 36 42 79 24 78  5 76 41 71 43 99 62 93 57 55 90 18 73 22 92 25  2
Card   5: 25 65 86 11 26 40 27  9 61 51 | 54 10 23 32 97 59 55 31  7 49 79 63 98  1 18 29 42 66 38 74 46 88 20  6 39
Card   6: 17 70 23 48  8 41 51  1 13 36 | 70 42 13 53 89 59 18 36  6 26 17 31  9 51 15 63  2  1 41 48 10 34 33 55 44
Card   7: 51 64 21 49 30 93 60  4 10 44 | 78 40 24  6  4 51 60 52 65 21 74  2 31 80 13 75 16 10 56 44 33  3 19 55 93
Card   8: 67 95 26 91 83 69  2 77 37 70 | 58 64 83 41 69 63 11 30 73 28 75 87 76 15  6  2 10 51 20 47 82 48 61 46 53
Card   9: 21 26 37 87 88 98 50 34 43 39 | 29 77 18 78 36 92  5  7 93 62 37 74 63 10  3 23 66 45 12  8 46  2 81 75 69
Card  10: 30 26 86 52 11 13 57 14 41 19 | 13 52 19 24 86 26 83 30 22 68 62 85 98 99 14 41 18 27  8 70 23 11 38 76 77
Card  11: 58 31 80 77 57 26 76 49 48 67 | 27 78 56 43  5 87 44 32 20 86 81 34 17 83 59  9 52 73 75 72 36 21 14 29 39
Card  12: 40 39 76 89 62 36 10 81 35 46 |  9 83 20 58 52 14  1 25 27 10 60 39 47 72 86 12 80 88  8 56 87 64 65 28 16
Card  13: 39 95 10 34 15 42 26 70 67 32 | 11 78 96 97 66 16 31 99 49 51 30 54 24 45 59 91 88  4 52 85 58 90 41 87 84
Card  14: 76 21 73 18 89 11 39 57 55 95 | 54 23 62 85 17 36 70 50 30 63 81 79 12  2 40 93 41 37 27 56 84  1 68 66 86
Card  15: 35 40 13 30 75 31 21 58 66 95 | 41 89 99 21 27 18  1 70 10 12 95 23 61 35 40 98 24 42 64 81 78 11 26 28 96
Card  16: 92  3 14 52 37 18 63 71 49 57 | 36 60 45 12 59 73 89 40 70 78 68 95 19 27 86 39  4 67 23 91 11 84 72 21 14
Card  17: 29 13 22 95 64 12 83 75  7 54 | 55 87 21 99 52 11 86 69 13 27 47 24 26 48 14 74 45 59  5 68 62 31 63 88 90
Card  18: 28 52 13 85 21 16 34 20 73 27 | 17 50 10 82 62 71 45 28 18 60 88 19 11  1 25 27 67 54  4 35 68 39 36 20 87
Card  19: 92 24 77 63  8 49 22 68 51 38 | 53 18 46 13 23 17 76 31 98 54 45  6 39  7 41 10 55 72 20 66 90 60 30 21 71
Card  20: 21 27  1 39 12 99 64 68 74 82 | 67 72 16 80 23 97 75 36 57  8 90 40 14 71 93 65 18 51  4 79 17 55 48 49 10
Card  21: 13 62 64 60 23 58 27 83 31 59 | 74 38  6  3 57 16 89 50  2 82 44 17 76 56 81 79 15 53 47 21 86 68 34 73 84
Card  22: 91 58 48 40 61 27 51 38 65 37 | 38 46  5 60 93 61 51 72 48 45 64 37 71  2 27 20 56 17 40 66 58 57 86 91 65
