181274863478376, 423998359962919, 286432452709141 @ -104, -373, -52
226461907371205, 306634733438686, 305056780555025 @ 54, 35, -49
347320263466693, 360139618479358, 271232232403985 @ -63, -122, 26
358223082178021, 283337523369166, 280863695613761 @ -132, 26, 10
385736685098538, 233863646936398, 303401296818020 @ -164, 104, -29
346798149439330, 276366698728351, 475005921988700 @ -126, 47, -355
231096094144237, 295163323442386, 344006209617941 @ -23, 131, -185
245225990530414, 310566840606457, 196376746451978 @ 8, 27, 209
443280332788269, 407337432855918, 469184960570809 @ -32, -192, -175
447733325517565, 247979320648878, 203339520847313 @ -156, 24, 118
467738720467190, 228935150650326, 501594210026934 @ -116, 16, -247
273167956787638, 185607058645996, 293988924928235 @ 20, 206, -14
363726295095205, 204327979118926, 279425007390125 @ -93, 128, 13
276626115360734, 261739554184896, 302833544482717 @ -112, 186, -52
406363154518165, 231661770258841, 311079987062642 @ -41, 11, -23
382244456617627, 337208313177502, 273237496331415 @ -12, -112, 21
257245032713964, 199787339182961, 295460156116688 @ -122, 451, -41
391669633114465, 433694309578486, 159118238108585 @ -130, -238, 202
229809012209090, 256872441839118, 187890284527478 @ 124, 40, 157
324430690631755, 215538405192131, 427639253595560 @ -111, 187, -287
392295021899805, 297874934975310, 264124831128617 @ -71, -48, 34
262730064983560, 293413451636359, 297450353419349 @ 94, -35, -12
440504365694201, 344013120919834, 212012128955553 @ -23, -130, 80
415277507456164, 404222039954908, 391326191866208 @ -68, -190, -123
329248742258845, 232532222128360, 341520054833801 @ 19, 35, -68
239524133306937, 434697595812844, 269686449708421 @ -79, -301, 42
231729032585547, 325232646857360, 138195146199085 @ 5, 18, 396
190642417409365, 341785882343086, 273341028543905 @ 152, -61, 25
198487981610770, 326407165993945, 345499232055617 @ 184, -81, -80
295035025471165, 227333128739668, 214309689231046 @ -81, 194, 155
410845348716357, 137187134567221, 164477199075615 @ 7, 71, 126
266694137227915, 354780188588446, 265489786069370 @ -159, -40, 55
205565794786465, 364251631222549, 226173075661667 @ -181, 33, 334
195144254078164, 127562730157836, 293708168151879 @ 192, 186, -6
326625685971805, 457966731808726, 408365459584625 @ -184, -323, -294
166099784519863, 381069038541605, 284480020352557 @ -63, -5, -52
151941721730537, 89826566675552, 185363365875237 @ 257, 145, 114
331505860166965, 45380636168871, 425658491299760 @ -9, 325, -197
189790359260301, 360364443705324, 272340780905519 @ 43, -27, 37
207467702373203, 159680863765292, 206812717769447 @ 140, 253, 145
214298463261508, 410508832120450, 244578320761471 @ 12, -220, 122
199454397602473, 369340806635884, 180578151915196 @ -117, -10, 579
360453131017955, 117845377538469, 452663866794766 @ 29, 123, -175
286153901044112, 272528025938322, 296746162331308 @ -68, 100, -27
330789662409055, 373085201578420, 152123182540205 @ -71, -138, 236
140621510449133, 378286508510411, 275757933634227 @ 143, 121, 42
309298407447877, 195677023448054, 211036612385305 @ 105, 15, 81
191029169423973, 307213564694878, 171719087041833 @ 205, -70, 147
223051651480365, 183039622422251, 370237838901200 @ 175, 61, -89
224877797468623, 337248869226852, 279702610603853 @ 18, -11, 10
368516560832545, 372377512075282, 313461282520817 @ -276, -121, -68
261083450105830, 358018509144301, 200073830904875 @ -26, -87, 198
314470583091073, 54339916783702, 456747132835397 @ 6, 330, -251
184350347919740, 372980914536956, 314974174229470 @ -80, -6, -237
253101881587630, 300789653945476, 279105769893890 @ 44, 6, 13
170433459347345, 295350742159484, 401334152518679 @ 109, 267, -521
148957756465069, 392808542878906, 283804767380549 @ -7, -79, -85
484271649534205, 363684476267926, 216013717303625 @ -157, -140, 92
241022221769341, 239318896572898, 195802461339545 @ 91, 90, 156
465875798971125, 283174871921342, 110235634859665 @ -61, -66, 186
379781726972089, 423422449585564, 302280023144305 @ -123, -223, -24
201299908660027, 357482972706775, 300674524226741 @ 73, -61, -52
413781086376585, 449560244806856, 277550172142625 @ -19, -237, 16
189617631387637, 352437237736670, 289047472002801 @ 15, 28, -36
402446445485481, 334262941278786, 351604708526169 @ 8, -119, -58
256368490722205, 465041479430790, 368638818021401 @ -96, -381, -257
129309774242351, 181542305120912, 216674595595785 @ 286, 603, 236
330020801365261, 188241464169382, 426459961755313 @ -12, 125, -202
237137236403266, 97887059382964, 198552488588516 @ 90, 354, 157
234345758004675, 327462793115386, 311429741257465 @ -74, 62, -100
393114199551885, 12552727719214, 219133581532981 @ 19, 200, 74
418106813296225, 279627496513666, 232906383474155 @ -23, -58, 63
307568533712502, 510535849263040, 506466750974348 @ -130, -442, -515
399540247433956, 177087926794708, 268516720188795 @ -18, 62, 26
377093180767435, 205051841635000, 321077085728069 @ -26, 57, -38
401452020327859, 232962959095468, 285471500036123 @ -28, 5, 7
423067038667525, 231943311679066, 362521381295477 @ -61, 11, -83
342891766520070, 387938872446784, 268073528465840 @ -56, -166, 31
312928331463669, 284065049336766, 270771007700145 @ 11, -14, 26
334791974904705, 424957546421863, 293019611180587 @ -221, -247, -22
173557311228157, 425754961623271, 430926049375826 @ 111, -289, -593
271484981246321, 418803421099390, 281881855751617 @ 20, -220, 8
250183373918485, 333919380186286, 266177743503905 @ 28, -46, 40
361511513603209, 316010921118046, 152600286531305 @ -108, -44, 226
280921649576857, 207511838950342, 309815425473041 @ -55, 244, -56
151048395273703, 393315119815078, 283861461662465 @ 28, -108, -64
180876514059739, 513998411214160, 245021283792275 @ 12, -801, 191
254950741347784, 445741306982146, 311709726418994 @ -94, -324, -87
473701648629625, 114867410530446, 239187735275955 @ -87, 120, 57
156200244672601, 316924619214190, 295968246625703 @ 27, 648, -170
309599633790909, 262724123114178, 270212868908403 @ -37, 58, 29
224701679912781, 313474499854685, 428906567475547 @ 95, -15, -282
439090768600237, 227161214881441, 424046131770524 @ -177, 71, -201
357386086011285, 298961503146228, 433727668751824 @ -41, -42, -205
328882302757735, 404858510216190, 346895989108425 @ -6, -192, -84
288475013999746, 323493250667092, 401841310162025 @ 26, -62, -184
182903140029284, 257184353252344, 242446641083168 @ 98, 314, 139
155158712236339, 341146550134546, 282074061732299 @ 168, 86, -5
269788194523223, 323531450129943, 260813618705549 @ -19, -21, 52
239501644546269, 199534414945606, 300089051414897 @ -38, 401, -50
253150553640765, 366708657970346, 100364373835125 @ -65, -92, 516
192287485429630, 352132820770451, 278668134798750 @ 6, 27, 11
271811462124369, 371944258754310, 209133706881085 @ 53, -140, 126
288280764350155, 369012512446018, 280506107012177 @ -146, -102, 8
316955680797219, 289282654394692, 283371769521685 @ -40, 5, 6
368979528377715, 247220914367196, 304128994947005 @ -43, 22, -20
262778338357273, 417985086345948, 238577842082753 @ -45, -230, 112
225620458412945, 277498051624266, 386059179085445 @ 52, 109, -245
450120079402897, 241371225364764, 198206097894373 @ -147, 27, 122
198516907070773, 325959741726414, 236884016519937 @ 102, 9, 123
283062468033061, 317488073942614, 312546658498397 @ -29, -18, -55
517144975480905, 328987701154926, 471817856624925 @ -160, -104, -205
180220672510583, 318905855432186, 235885768530587 @ 145, 36, 130
302040991746658, 260145145543668, 301949353191404 @ 90, -30, -11
318495847778713, 346056507018754, 155007932381369 @ -48, -91, 230
275254638677191, 347232511081321, 300192925958975 @ -39, -69, -34
354989206041921, 399310844858926, 372408735785841 @ 62, -184, -76
176729685685973, 23559562459854, 31011847927553 @ 191, 543, 493
120947065836941, 202428909919418, 162669365035065 @ 305, 313, 306
308417666431375, 345935295235852, 258263208833447 @ -116, -65, 59
183241568411164, 320015278010788, 367958093514464 @ -100, 394, -643
207891152307775, 228114412441036, 129633589321310 @ 65, 294, 429
330415846591805, 389794231512126, 342806949377825 @ -14, -170, -80
145927713194505, 137989244409386, 147770231245213 @ 254, 261, 237
156219377181405, 365296369525826, 253008082345325 @ -11, 211, 301
318101115512953, 480760194828970, 376110730089569 @ 6, -303, -128
202066623931015, 339968653187299, 487812011769254 @ -11, 59, -845
345305115514837, 232913892394798, 298454311899425 @ 23, 15, -9
359379494153739, 194530248391738, 363773581181441 @ 25, 44, -80
358747021136021, 470894989950950, 381003970871509 @ -185, -330, -195
159970201278557, 367633797098854, 320376950000065 @ -110, 245, -564
308911334642071, 320882323222832, 321566179183290 @ 57, -86, -39
205005944098025, 330552250230026, 236920093498275 @ 43, 36, 146
328120060812337, 233261111626648, 224851753811423 @ 81, -17, 69
257163305777549, 404450297159838, 10941084032815 @ 83, -192, 431
331730790206371, 249407621347045, 447685732570220 @ 61, -21, -169
300121316544425, 266796810835806, 270278060519405 @ 70, -20, 25
314781357714103, 290363345634466, 257436787670417 @ 60, -54, 40
221266394137003, 150278327863660, 249624362189330 @ 5, 574, 101
440456200934221, 248762790688822, 240589272615833 @ -64, -17, 57
219397106322825, 379922930947426, 251182609222985 @ -62, -109, 118
333390936937137, 246493688973542, 467120821215633 @ 70, -26, -180
