726,774
246,695
579,249
691,724
246,820
738,887
1088,75
264,887
704,775
907,625
676,117
507,658
1009,24
547,735
157,126
599,113
445,226
363,691
918,794
927,113
999,400
443,305
654,729
408,767
1066,863
1148,473
321,35
1093,803
1044,718
202,889
262,164
378,541
619,662
1034,849
432,595
1145,656
1295,668
1125,705
1161,529
759,619
1170,147
688,742
328,729
718,439
935,701
246,647
594,110
845,495
160,189
1225,315
580,486
469,481
440,401
584,774
897,719
1007,516
547,159
112,117
982,645
62,439
192,441
631,211
654,16
113,698
378,865
373,19
441,777
390,7
1263,312
1121,610
509,582
893,352
44,131
1092,19
592,719
918,100
326,820
62,719
520,889
718,103
571,579
1165,267
1208,334
525,415
268,588
769,464
596,716
734,436
1283,747
35,457
982,94
1235,849
932,752
1265,243
262,752
99,704
547,732
1096,829
791,329
1222,320
199,568
671,494
1079,93
569,315
129,415
868,878
788,803
1175,889
965,676
904,660
552,560
619,484
507,236
566,768
1215,30
45,410
885,441
478,336
945,397
596,306
1145,686
189,495
1153,126
79,444
719,403
903,91
27,105
441,329
768,565
671,400
507,205
224,390
867,753
425,441
1123,67
833,14
793,278
1237,724
238,808
1099,32
411,243
1,574
726,120
862,441
212,94
80,199
1047,312
164,389
440,773
185,189
412,114
537,792
403,697
1208,768
408,527
1135,831
746,826
1064,110
15,226
102,574
1001,442
769,16
1236,408
440,121
1309,131
771,473
1064,527
189,284
427,704
276,865
986,593
1009,870
745,276
965,291
1190,5
1084,768
313,750
976,544
1222,658
223,619
718,791
976,574
705,822
785,863
388,390
1235,716
579,645
90,378
497,849
1308,145
658,301
648,94
1150,189
231,129
408,639
390,119
132,556
639,220
885,453
413,651
639,68
177,544
552,782
239,130
867,645
187,67
1163,494
1227,19
249,658
132,270
740,82
73,206
1166,525
262,506
1092,875
923,509
967,400
813,849
734,364
604,541
566,758
90,852
190,831
1047,65
313,144
542,157
720,304
129,863
1280,149
448,441
947,484
1048,506
408,863
657,803
480,834
201,369
489,208
1275,36
1064,784
781,845
1071,152
1251,61
455,500
564,68
758,798
922,390
443,421
505,792
60,784
1059,645
741,315
89,164
142,637
348,705
763,735
165,686
711,781
1220,852
455,120
1205,859
1208,413
1098,240
33,505
821,208
35,289
1251,833
1131,226
745,730
75,625
905,75
738,7
1223,316
923,395
7,884
1153,299
552,96
1047,134
642,266
537,698
1211,190
959,235
1235,625
711,614
510,798
73,306
47,582
657,875
468,75
638,346
144,525
612,665
917,57
1235,402
211,249
831,63
1197,250
493,686
887,801
85,315
263,65
924,306
140,595
997,141
657,173
579,850
